index,topic,score,heading,paragraph
draincostcleaning,draincostcleaning,27.0,Drain Cleaning Cost,"In many cases, the clogged drain will be a relatively simple fix. Using a long, thin tool to snake the drain, plumbers can break up and pull out the blockage in the pipe in just a few minutes. In these cases, the cost of hiring a plumber will be minimal, but the expense will go up quite a bit for those who call a plumber outside of normal business hours."
sinkcloggedkitchen,sinkcloggedkitchen,27.0,$ to $ to repair a simple clogged toilet or kitchen sink,"Simple blockages that are located above the s-trap can be cleared without specialist machinery. Plumbers grade caustic acid (requires a plumbing licence to purchase) or a heavy duty plunger is normally enough to resolve the problem. Blocked drains that fall within this category include a shower blocked by hair, a kitchen sink blocked by food scraps or a toilet clogged with organic matter such as excess toilet paper."
plumber,plumber,24.0,Hiring The Right Plumber,"When it comes to clogged pipes or any plumbing issue, it is best to call a professional. At the end of the day, they have the most experience and the right tools to do the job correctly. This may cost you money, but it will save you time and a huge mess to deal with at home. Your plumber should have plenty of knowledge and experience with a simple fix like this. Make sure they are insured and licensed to do this work. Accidents and injuries are unlikely, but it is best to be safe."
clearcostclearing,clearcostclearing,24.0,Clearing a Main Line Cost,"To have a plumber snake a main sewage line, you can expect to pay between $ and $. The price of clearing a main line varies quite a bit based on the severity of the blockage, the distance snaked, and the amount of time involved. While it's possible to rent an industrial snake for $ to $, this is an unpleasant job that you should probably leave to a professional."
drainclean,drainclean,24.0,Enzymatic drain cleaners[edit],"Enzymatic drain cleaners contain bacteria cultures and concentrated enzymes that react with organic residue that builds up on sewer pipes, dissolving the residue to help prevent slow-running drains. Most enzymatic drain cleaners are intended for general maintenance to maintain proper flow and are not intended to clear fully clogged drain pipes.[citation needed]"
drainblocked,drainblocked,24.0,Blocked drain causes,"Sydney blocked drains can occur for any number of reasons and the right solution depends entirely on the cause. A simple blockage caused by organic debris, such as food scraps in the kitchen sink, can be quick and cheap to fix. A blockage in your sewer pipes caused by a solid mass of wet-wipes and grease, will be more difficult and expensive to resolve."
preventhow,preventhow,24.0,How To Prevent Clogs,"The best way to fight clogs in your drain is by preventing them from happening. It’s better to deal with this now, rather than letting the issue become bigger and more damaging. A common option to break down and prevent any clogs is to pour chemical drain cleaner down your drains every couple months. Try to find a non-corrosive drain cleaner to avoid potential pipe corrosion."
small,small,23.0,Use Tweezers for Small Plugholes,"Sometimes, it can be tricky grabbing hold of pieces of hair and other debris that has become stuck around your plughole. Using tweezers is a great option and if you want fast results, they are the ideal solution. You can use your tweezers to carefully and gently fish out any hair, soap pieces, and stuck debris that has built up around your plughole. It may seem like an odd approach in how to clean plugholes, but it is widely regarded as the fastest and easiest way to clear your plughole."
drain,drain,23.0,Drain Jetting,"Drain jetting is an effective & efficient method of clearing drains. Traditionally, it would typically have been performed with standard drain rods. However, drain rods have fundamental flaws, such as being unable to properly navigate around corners or reach other difficult to clear areas. Our high-pressure jetting equipment allows us to navigate around bends and apply far more pressure than manual rods on the blockage."
unblocksinkkitchen,unblocksinkkitchen,23.0,Unblocking kitchen sink,"""A member of the team arrived well within the time slot arranged and offered a complete all round service and couldn't have been more helpful. Although the job was much more involved than I first thought, he was able to completely clear the obstruction which was some way along the main drain. I have never felt that I have wanted to leave feedback in the past for any work I've had done but in this case I have no hesitation. First class service."""
blockedclearsink,blockedclearsink,23.0,How to clear a blocked sink,"If your sink, basin or bath becomes slow to drain (or stops draining completely) there's probably a blockage somewhere in your waste pipe. Common causes are grease in the trap, or fibres caught below the grid on the plug-hole. If the water doesn't drain away at all, you've got a complete blockage - which means there must be an obstruction in the waste pipe. You can try a range of methods to sort this out."
costsinkkitchen,costsinkkitchen,23.0,Cost to Unclog Kitchen Sink & Garbage Disposal,"Hiring a plumber to clear a sink blockage costs a flat fee of $ to $. If problems arise, your repair bills could start climbing, however, as charges for minimum labor amounts and call-out fees are standard. Therefore, it is often far cheaper to attempt to clear a simple drain blockage yourself."
plumbersnake,plumbersnake,23.0,. Plumber's snake,"Sometimes called an auger, this handy tool can clear clogs that may be stuck further down the system. You’ll have to disassemble the drainpipe and P-trap that runs underneath the kitchen sink to expose the “stub pipe” or “stubout” that travels behind the cabinet wall. This is where you insert the snake into the pipe until you feel resistance to break up the clog."
drainunblockunblocking,drainunblockunblocking,22.0,Unblocking an outside drain,"""Would thoroughly recommend this company. From the first phone call, Happy Drains were polite, courteous and efficient. The job was completed in  minutes. Mark was fantastic in finding the problem and went above and beyond to remove the roots blocking the drain. He also checked our other drains and jetted all the debris. I was given a choice of paying by cash, cheque or online. The price was excellent. I would certainly use this company again. Mark was a great tradesman."""
drainblockagesmall,drainblockagesmall,22.0,Commercial Drain Cleaners for Small Blockages,"For small clogs or blockages, a good removal method is to use commercial drain cleaners. These unblocking products help get rid of any small debris build-ups that are not washing away naturally with the water flow. It’s your choice whether you use chemical cleaners or prefer eco-friendly products, both are just as effective."
plumbing,plumbing,21.0,AHS Plumbing Coverage,"Many plumbing issues involve stoppages and clogged drains or pipes. If all of your DIY efforts don't work, stoppages in the sink, bathtub, shower and toilets may be covered by an American Home Shield plumbing warranty depending on the cause. When you encounter a covered plumbing problem, no matter how big or how small, contact AHS for help."
snakeplumbinghow,snakeplumbinghow,21.0,How Much is a Plumbing Snake on Average?,"Basic handheld, manually or drill-activated plumbing snakes typically cost around $, but they only reach up to  feet. These work best for minor blockages that are located fairly close to the basin or toilet. If you need to resolve this type of clog, you can pick up this style plumbing snake at the hardware store."
